I,N,1,1,0.9685832139,0.9822872806,0.9921147146,0.9510565983,0.9822872806,0.9048272106
I,N,2,0.9980267318,0.9822872806,0.9685832139,0.9980267318,0.9297766031,0.9921147146,0.8763068846
I,N,3,0.9921147146,0.9921147146,0.9510565983,1,0.9048272106,0.9980267318,0.8443281814
I,N,4,0.9822872806,0.9980267318,0.9297766031,0.9980267318,0.8763068846,1,0.8090173063
I,N,5,0.9685832139,1,0.9048272106,0.9921147146,0.8443281814,0.9980267318,0.7705136149
I,N,6,0.9510565983,0.9980267318,0.8763068846,0.9822872806,0.8090173063,0.9921147146,0.7289690634
I,N,7,0.9297766031,0.9921147146,0.8443281814,0.9685832139,0.7705136149,0.9822872806,0.6845476089
I,N,8,0.9048272106,0.9822872806,0.8090173063,0.9510565983,0.7289690634,0.9685832139,0.6374245622
I,N,9,0.8763068846,0.9685832139,0.7705136149,0.9297766031,0.6845476089,0.9510565983,0.5877858963
I,N,10,0.8443281814,0.9510565983,0.7289690634,0.9048272106,0.6374245622,0.9297766031,0.5358275119
I,N,11,0.8090173063,0.9297766031,0.6845476089,0.8763068846,0.5877858963,0.9048272106,0.4817544647
I,N,12,0.7705136149,0.9048272106,0.6374245622,0.8443281814,0.5358275119,0.8763068846,0.4257801559
I,N,13,0.7289690634,0.8763068846,0.5877858963,0.8090173063,0.4817544647,0.8443281814,0.3681254902
I,N,14,0.6845476089,0.8443281814,0.5358275119,0.7705136149,0.4257801559,0.8090173063,0.3090180039
I,N,15,0.6374245622,0.8090173063,0.4817544647,0.7289690634,0.3681254902,0.7705136149,0.2486909667
I,N,16,0.5877858963,0.7705136149,0.4257801559,0.6845476089,0.3090180039,0.7289690634,0.1873824615
I,N,17,0.5358275119,0.7289690634,0.3681254902,0.6374245622,0.2486909667,0.6845476089,0.1253344446
I,N,18,0.4817544647,0.6845476089,0.3090180039,0.5877858963,0.1873824615,0.6374245622,0.0627917907
I,N,19,0.4257801559,0.6374245622,0.2486909667,0.5358275119,0.1253344446,0.5877858963,1.3267949E-6
I,N,20,0.3681254902,0.5877858963,0.1873824615,0.4817544647,0.0627917907,0.5358275119,-0.062789142
I,N,21,0.3090180039,0.5358275119,0.1253344446,0.4257801559,1.3267949E-6,0.4817544647,-0.125331812
I,N,22,0.2486909667,0.4817544647,0.0627917907,0.3681254902,-0.062789142,0.4257801559,-0.187379855
I,N,23,0.1873824615,0.4257801559,1.3267949E-6,0.3090180039,-0.125331812,0.3681254902,-0.248688396
I,N,24,0.1253344446,0.3681254902,-0.062789142,0.2486909667,-0.187379855,0.3090180039,-0.30901548
I,N,25,0.0627917907,0.3090180039,-0.125331812,0.1873824615,-0.248688396,0.2486909667,-0.368123023
I,N,26,1.3267949E-6,0.2486909667,-0.187379855,0.1253344446,-0.30901548,0.1873824615,-0.425777755
