i,n, 1,bomber #1, pitch,     1.1, 2017-08-30 15:21:00.000000, 10.0, 10.0
i,n, 2,bomber #2, velocity, -1.2, 2017-08-30 15:21:00.000001, 20.0, 20.0
i,n, 3,bomber #1, roll,     -1.1, 2017-08-30 15:21:00.000002, 11.0, 11.0
i,n, 4,bomber #2, yaw,       2.2, 2017-08-30 15:21:00.000003, 21.0, 21.0
i,n, 5,bomber #2, pitch,     1.2, 2017-08-30 15:21:00.000004, 22.0, 22.0
i,n, 6,bomber #1, velocity, -1.1, 2017-08-30 15:21:00.000005, 12.0, 12.0
i,n, 7,bomber #2, roll,     -1.2, 2017-08-30 15:21:00.000006, 23.0, 23.0
i,n, 8,bomber #1, yaw,       2.1, 2017-08-30 15:21:00.000007, 13.0, 13.0
i,n, 9,fighter #1, pitch,     1.3, 2017-08-30 15:21:00.000012, 30.0, 30.0
i,n,10,fighter #2, velocity, -4.4, 2017-08-30 15:21:00.000013, 40.0, 40.0
i,n,11,fighter #1, roll,     -4.3, 2017-08-30 15:21:00.000014, 31.0, 31.0
i,n,12,fighter #2, yaw,       8.4, 2017-08-30 15:21:00.000015, 41.0, 41.0
i,n,13,fighter #2, pitch,     4.4, 2017-08-30 15:21:00.000016, 42.0, 42.0
i,n,14,fighter #1, velocity, -4.3, 2017-08-30 15:21:00.000017, 32.0, 32.0
i,n,15,fighter #2, roll,     -4.4, 2017-08-30 15:21:00.000018, 43.0, 43.0
i,n,16,fighter #1, yaw,       8.3, 2017-08-30 15:21:00.000019, 33.0, 33.0
i,n,17,bomber #1, pitch,     23.1, 2017-08-30 15:21:06.000022, 14.0, 14.0
